baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	4566.80873365219	-0.00565614166694126	0.0967130994228912	-0.0584837183452162	0.953363331173443	0.969967674563256
TNMD	26.2910405511216	-1.37489781856536	0.326527558929123	-4.21066394234674	2.54621270210212e-05	0.00012013501822327
DPM1	1586.60727400046	-0.187201680590746	0.0627872050458068	-2.98152594074179	0.00286815746534945	0.00792745417307412
SCYL3	1332.80629229525	0.164029586799882	0.0732786641111394	2.23843582288978	0.0251926481457099	0.05178914546215
C1orf112	252.428667362703	-0.0231980922317735	0.0779849296163095	-0.297468912851618	0.766108538338704	0.831155225999307
FGR	324.97614482164	-0.307400293137517	0.144246499034628	-2.13107628396389	0.0330828581649349	0.0654065698737033
CFH	2025.06551377064	-1.06508311687377	0.184234057271361	-5.78114129737149	7.41955395196356e-09	7.80102606816423e-08
FUCA2	3674.63067175892	0.556293570267698	0.0856051436586957	6.49836617862144	8.11969753863863e-11	1.36633325757714e-09
GCLC	3652.73875532679	-0.262641067155515	0.0893087504009743	-2.94082120706337	0.00327343417181599	0.00889854559012404
NFYA	2113.8149855819	0.242489569622695	0.0707088071751621	3.42941112020165	0.000604892512189501	0.00201319386136586
STPG1	910.689587650788	-0.303214730903587	0.0993133844476598	-3.05311044014804	0.00226482569079423	0.00644177607519377
NIPAL3	14136.2032423478	-0.498767418658454	0.219698468130962	-2.2702362146701	0.0231932548161009	0.0482358703715426
LAS1L	2679.63022222523	0.148030516341572	0.0499921743695915	2.96107377221052	0.00306568497461212	0.00840215333121946
ENPP4	3317.17801181633	0.183725845563737	0.0923940089512207	1.98850388298158	0.0467559899894875	0.0875136979949277
SEMA3F	3992.724542791	-0.09958503870249	0.135984412959674	-0.732326864050383	0.463969086306406	0.568705450252893
CFTR	936.271458905304	-0.596676368533287	0.297712339419354	-2.00420435947338	0.0450481737811544	0.084808306901915
ANKIB1	3135.8990046377	0.246783166567818	0.0727564723800201	3.39190670596047	0.00069408068879453	0.00227313527928368
CYP51A1	515.513978207104	-0.359873669073067	0.164559226354271	-2.18689451236428	0.0287502256356971	0.0580155554158003
KRIT1	1823.83096919097	-0.0767590897096455	0.0641773429065692	-1.19604655215148	0.231678393173799	0.329012078073523
RAD52	472.500670178268	-0.0035899299940777	0.0881973254730158	-0.0407033883944253	0.967532360287831	0.97960980488353
MYH16	9.03798508957166	-0.135585709340651	0.19302051222225	-0.702441972511881	0.482403577602864	0.586490083675167
BAD	2935.91111200163	0.0125101097317139	0.0955209261005241	0.130967215692073	0.895801242064424	0.929792094514035
LAP3	4244.71605455718	0.120347822247406	0.0698046053902452	1.72406708088381	0.0846957340059658	0.144144179207452
CD99	16670.0543302106	-0.0583687697837019	0.0824919202862129	-0.707569536279267	0.479212616406999	0.583278396014806
HS3ST1	612.901546358854	0.115923500009874	0.215890376356605	0.536955384330764	0.591298432741468	0.683260826952231
AOC1	3215.72703906201	-1.19013361609677	0.383031484643366	-3.10714305171252	0.00188904962782661	0.00550676486605848
WNT16	44.5560411288341	-0.631544139737754	0.229148234899126	-2.75605064126184	0.00585039383106419	0.0147257775478594
HECW1	371.216483551098	-1.41848671550585	0.271781143401061	-5.21922418073213	1.79674174747432e-07	1.38764465245199e-06
MAD1L1	1814.25473271289	0.202929208691396	0.093161903899532	2.17824239519879	0.0293879952982813	0.0590819913589652
LASP1	6900.32270564089	-0.121852043572866	0.083626429310626	-1.45709968220995	0.145088866114929	0.22431699543516
SNX11	1373.20738809924	-0.113817374461859	0.068810801300823	-1.65406262258564	0.0981147895343369	0.162716557087064
TMEM176A	711.022576953394	-1.04843565459591	0.205659488461506	-5.09792017105084	3.4340556906768e-07	2.46697781847268e-06
M6PR	3739.45203096511	-0.309597760768768	0.0784481057117755	-3.94652946632331	7.92921673577391e-05	0.00033224405514847
KLHL13	662.834089398692	-1.00593334412281	0.119917735763089	-8.38852850015563	4.92264737896555e-17	3.90319992443097e-15
CYP26B1	287.479971376252	-0.887955818298922	0.281119948519285	-3.15863681313248	0.00158508889883318	0.00471923834163471
ICA1	3856.34660860216	0.711647163429543	0.11105203754431	6.40823148468209	1.47217274325612e-10	2.34208583991319e-09
DBNDD1	1562.88923688564	1.28201698253158	0.163312933128408	7.85006403334617	4.15824906252379e-15	2.00066954085894e-13
ALS2	1456.95146798022	0.136353005017268	0.057466062607541	2.37275704703274	0.0176558731501165	0.038230391220912
CASP10	464.120569370016	-0.255023350858086	0.176932812839296	-1.44135701436973	0.149483847646425	0.229952544152249
CFLAR	6629.08193378408	0.00238057224029658	0.0633007427799659	0.0376073350129788	0.970000759566017	0.9812541280215
TFPI	1164.88716321839	-0.331558245649624	0.221226312169036	-1.4987288012842	0.133944001791303	0.210179479089271
NDUFAF7	543.645672787568	-0.0359732360247616	0.0646920901447742	-0.556068538584196	0.578164001612573	0.672158602750557
RBM5	5090.19160743881	0.0618022154630665	0.0916795848073549	0.674110987663509	0.500240754464804	0.60334071282426
MTMR7	66.3577117694084	-0.57137305522417	0.0945655465003169	-6.04208484347157	1.52135423263227e-09	1.85621447489077e-08
SLC7A2	5266.44450958203	0.124034461756412	0.125315787938496	0.989775221437281	0.322283998669723	0.42784143300498
ARF5	8423.76677564248	0.169670320244452	0.106808118638572	1.58855265317986	0.112161424752776	0.181556307017205
SARM1	823.232271473307	0.345344287685444	0.0949985695535297	3.63525776554825	0.000277702826820171	0.00101265830913306
POLDIP2	7390.76811198437	0.283232918491996	0.0608102015641468	4.65765465673095	3.19832138099954e-06	1.84622185871948e-05
PLXND1	2722.0585031657	-0.200607170178827	0.150639366216083	-1.33170482071113	0.182957204540074	0.270878330916425
AK2	5590.23619802499	0.229852665380223	0.0627701919945274	3.66181236788734	0.000250437259552726	0.000923351657520307
CD38	6511.06473394924	-0.342869317980675	0.299023715362381	-1.14662918145191	0.251534910630567	0.35124872177191
FKBP4	16027.6578544758	0.477456677235167	0.106316657241262	4.49089248688178	7.09253480938919e-06	3.79638937934074e-05
KDM1A	6233.05327078594	0.343282194910647	0.059927266499624	5.7283139205557	1.01433733599372e-08	1.03112158456196e-07
RBM6	3550.4130378673	0.0414380308044215	0.0992606145206142	0.417466998411699	0.676336858220633	0.757104139083363
CAMKK1	714.684034879702	0.0797991600355901	0.134650296216229	0.592640063022542	0.553422061383847	0.650824694399118
RECQL	955.119910134037	-0.396225980726016	0.132054806182361	-3.00046618658353	0.00269566681504328	0.00750214873441565
VPS50	1477.46506265764	0.034126167463833	0.0700308895652808	0.487301641827948	0.62604458439107	0.713539162537721
HSPB6	6626.86843860032	-1.7198720706822	0.212453669900739	-8.09528059216743	5.71325036559423e-16	3.45628258909475e-14
ARHGAP33	449.710854392873	-0.0519979294877509	0.132074166767847	-0.393702498832722	0.693800696268055	0.771570105203813
NDUFAB1	2303.08427637318	0.042428574237556	0.0798517912516436	0.531341546288514	0.595182120074857	0.686814342310156
PDK4	8044.66901056509	-1.13160847954001	0.233258155601862	-4.85131367269964	1.22646397928422e-06	7.85941378449073e-06
SLC22A16	15.6435364977283	1.06576061323197	0.296278291008742	3.59716066136119	0.000321709788868722	0.00115346905368655
ZMYND10	91.9417972877996	1.45056376992494	0.239007522390643	6.06911345473924	1.28618263628193e-09	1.6041675548325e-08
ABCB5	14.722903997618	-0.108363895820987	0.251221479946019	-0.431348051306246	0.666215316455685	0.748224597525716
ARX	312.95051612698	1.15401691159869	0.320802083644437	3.59728620989179	0.000321554599191447	0.00115328382792232
SLC25A13	1905.22819356867	0.604357797502279	0.099988256127466	6.0442878084786	1.50071414131138e-09	1.83781854521222e-08
ST7	2071.35090411397	0.22884434776243	0.0794470313537342	2.88046442847576	0.0039708975793253	0.0105326198593808
CDC27	3119.13372348575	-0.0253610096075684	0.0571257614396812	-0.443950486933061	0.65707838177669	0.739891259704162
SLC4A1	3.16676341919649	0.465263157919666	0.335509528727686	1.38673604795676	0.165522264237338	0.249905504459886
CALCR	5.2099873255405	-0.688738098015618	0.291737869514554	-2.36081143377671	0.0182350000274465	0.0392784331220004
HCCS	1057.02866848619	-0.0748747710994827	0.0570781326748621	-1.31179433507394	0.189589536840255	0.27914113832177
DVL2	2756.50434197736	-0.263150501523914	0.0619984540239439	-4.24446876404829	2.19111885005903e-05	0.00010484507223633
PRSS22	865.882132408893	-0.399169467315533	0.184180060238743	-2.16727840569772	0.0302136320467577	0.060468258963977
UPF1	11142.5576510613	0.30865701644894	0.0706872045796104	4.36651892353897	1.2624235527404e-05	6.39688171731135e-05
SKAP2	2051.08664394366	0.327741311868115	0.0837109721895379	3.91515357301126	9.03466824457536e-05	0.000373158529773863
SLC25A5	11319.0443019271	0.236393415966175	0.0894223007794007	2.64356222000307	0.00820386860462487	0.0197421357308122
CCDC109B	271.757500912373	-0.346201252850057	0.122271875945931	-2.83140542476953	0.00463439367496756	0.0120422145880875
HOXA11	880.171238560699	-0.0724535701629769	0.118286184300692	-0.612527748623583	0.540188644723252	0.639689719311847
POLR2J	2248.57621116555	0.127450956194964	0.132649356816435	0.960810962478589	0.3366472255766	0.442796983336045
DHX33	1475.91117382758	0.292077843796311	0.0641699381278731	4.55163044125553	5.32317782840572e-06	2.91759206543439e-05
MEOX1	211.97029985445	-0.263591470996871	0.222430293175884	-1.18505203240657	0.235996874884533	0.333921323413262
THSD7A	1497.37227515936	-0.133579990718588	0.249467237695336	-0.535461056740938	0.592331079615022	0.684161609807445
LIG3	3341.94024592848	0.584909390410905	0.069048181826499	8.47103247237759	2.43227415810156e-17	2.12709528873506e-15
RPAP3	1675.24251517021	0.0373370213127749	0.0474910421365023	0.786190819006625	0.431755703967153	0.537597324194277
ACSM3	3129.74967167527	0.645418672103397	0.207899980729556	3.1044672050402	0.00190622058811044	0.00554974669214489
AC004381.6	830.276639820612	0.0860765515051182	0.10207815077035	0.843241681550134	0.399093291368408	0.506157950876024
CIAPIN1	2091.96328210825	0.213827095630275	0.0779566032202819	2.74289908484164	0.0060899397911573	0.0152448450707418
SPPL2B	2300.40713765568	0.250866973816504	0.0851246069597967	2.94705588402875	0.00320815219243647	0.00874747338742833
FAM214B	1559.16095917148	0.346139672389451	0.0810895842565194	4.26860829985846	1.96696323052899e-05	9.52535581377018e-05
COPZ2	971.629651791399	-1.08398025085674	0.133845563775943	-8.0987387275033	5.55319030676e-16	3.37665768059717e-14
PRKAR2B	1861.19731359804	-0.535768781917703	0.15142211281306	-3.53824664023242	0.000402793626753491	0.00140802559345031
MSL3	1315.00208095534	0.102494593495298	0.0723677859631274	1.41630135745097	0.156687290576779	0.238748585528848
